,USDINR,NIFTY,INDIAVIX,GOLD,CRUDE,DXY
2018-08-20,69.78500366210938,11551.75,13.029999732971191,1186.800048828125,66.43000030517578,95.9000015258789
2018-08-21,69.73999786376953,11570.900390625,12.899999618530273,1192.5999755859375,67.3499984741211,95.26000213623047
2018-08-22,69.80999755859375,,,1196.300048828125,67.86000061035156,95.1500015258789
2018-08-23,69.79000091552734,11582.75,12.760000228881836,1187.0,67.83000183105469,95.62000274658203
2018-08-24,70.2750015258789,11557.099609375,12.40999984741211,1206.300048828125,68.72000122070312,95.1500015258789
2018-08-27,69.76499938964844,11691.9501953125,12.239999771118164,1209.0,68.87000274658203,94.77999877929688
2018-08-28,69.94499969482422,11738.5,12.430000305175781,1207.4000244140625,68.52999877929688,94.72000122070312
2018-08-29,70.54000091552734,11691.900390625,12.4399995803833,1204.5,69.51000213623047,94.5999984741211
2018-08-30,70.91000366210938,11676.7998046875,12.40999984741211,1197.699951171875,70.25,94.72000122070312
2018-08-31,71.40499877929688,11680.5,12.600000381469727,1200.300048828125,69.80000305175781,95.13999938964844
2018-09-03,70.99500274658203,11582.349609375,13.390000343322754,,,
2018-09-04,71.06999969482422,11520.2998046875,13.779999732971191,1192.699951171875,69.87000274658203,95.41999816894531
2018-09-05,71.75,11476.9501953125,13.649999618530273,1194.9000244140625,68.72000122070312,95.12999725341797
2018-09-06,71.88999938964844,11536.900390625,13.720000267028809,1197.9000244140625,67.7699966430664,95.0199966430664
2018-09-07,71.93890380859375,11589.099609375,13.890000343322754,1193.5999755859375,67.75,95.37000274658203
2018-09-10,72.09500122070312,11438.099609375,15.199999809265137,1193.0,67.54000091552734,95.1500015258789
2018-09-11,72.44499969482422,11287.5,15.329999923706055,1195.4000244140625,69.25,95.05999755859375
2018-09-12,72.98999786376953,11369.900390625,14.25,1204.699951171875,70.37000274658203,94.80000305175781
2018-09-13,71.92520141601562,,,1202.0,68.58999633789062,94.54000091552734
2018-09-14,72.02749633789062,11515.2001953125,13.84000015258789,1195.0,68.98999786376953,94.9800033569336
2018-09-17,72.09500122070312,11377.75,14.5,1199.699951171875,68.91000366210938,94.51000213623047
2018-09-18,72.53479766845703,11278.900390625,14.420000076293945,1196.800048828125,69.8499984741211,94.62000274658203
2018-09-19,73.12000274658203,11234.349609375,14.010000228881836,1202.199951171875,71.12000274658203,94.55000305175781
2018-09-20,72.34500122070312,,,1206.199951171875,70.80000305175781,93.91000366210938
2018-09-21,71.72000122070312,11143.099609375,15.539999961853027,1196.199951171875,70.77999877929688,94.22000122070312
2018-09-24,72.2300033569336,10967.400390625,17.43000030517578,1199.300048828125,72.08000183105469,94.26000213623047
2018-09-25,73.30000305175781,11067.4501953125,16.68000030517578,1200.0,72.27999877929688,94.12999725341797
2018-09-26,73.08999633789062,11053.7998046875,17.09000015258789,1194.0,71.56999969482422,94.19000244140625
